member_id,customer_key,unaltered_customer_key,display_name,level_id,is_deleted,a_phasedescription,a_phasekey,a_phaseparentkey,a_phasesorting
426,en2018_act,EN2018_ACT,Engagé 2018,64901,false,Engagé 2018,EN2018_ACT,ActualEngage,EN2018_ACT|2018FY
359,bud_2020_h00_v00,BUD_2020_H00_V00,BU Demandé 2020,64901,false,BU Demandé 2020,BUD_2020_H00_V00,BDG,BUD_2020_H00_V00|2020FY
227,actual2018,Actual2018,Réalisé 2018,64901,false,Réalisé 2018,Actual2018,EN2018_ACT,Actual2018
65,en2020,EN2020,Engagé-Réalisé 2020,64901,false,Engagé-Réalisé 2020,EN2020,EN2020_ACT,EN2020|UAT1ENG_2020|UAT2ENG_2020
459,bud_2020_h00_b01,BUD_2020_H00_B01,BU Demandé 2020 Backup 1 (1702),64901,false,BU Demandé 2020 Backup 1 (1702),BUD_2020_H00_B01,BXX,BUD_2020_H00_V00|2020FY
20,uat1actual_2018,UAT1Actual_2018,Réel 2018 SAP1,64901,false,Réel 2018 SAP1,UAT1Actual_2018,SAP,01.18|Actual2018
1118,bzz,BZZ,Phases Histo Réel (Abstract),64901,false,Phases Histo Réel (Abstract),BZZ,UXX,BZ
21,uat1pr03_2019,UAT1PR03_2019,PR03 2019 UAT1,64901,false,PR03 2019 UAT1,UAT1PR03_2019,UAT,Ux99.08
23,uat2pr03_2019,UAT2PR03_2019,PR03 2019 UAT2,64901,false,PR03 2019 UAT2,UAT2PR03_2019,UAT,Ux99.09
19,uat1budget_2019,UAT1Budget_2019,Budget 2019 UAT1,64901,false,Budget 2019 UAT1,UAT1Budget_2019,UAT,Ux99.10
14,uat2budget_2019,UAT2Budget_2019,Budget 2019 UAT2,64901,false,Budget 2019 UAT2,UAT2Budget_2019,UAT,Ux99.11
13,uat1corpplan_2020,UAT1CorpPlan_2020,PLT 2020 UAT1,64901,false,PLT 2020 UAT1,UAT1CorpPlan_2020,UAT,Ux99.06
1416,pc2024_m11_w,PC2024_M11_W,PC2024_M11 Collecte,64901,false,PC2024_M11 Collecte,PC2024_M11_W,BDG,PC2024_M11|202?FY
528,demtarif2019_cre,DemTarif2019_CRE,Demande Tarifaire CRE 2019,64901,false,Demande Tarifaire CRE 2019,DemTarif2019_CRE,Tariff,DemTarif2019_CRE
557,bud_2020_h00_b02,BUD_2020_H00_B02,PC062020 Backup avant modif COMEX(1507),64901,false,PC062020 Backup avant modif COMEX(1507),BUD_2020_H00_B02,BXX,BUD_2020_H00_V00|2020FY
492,plt2020_pcm06,PLT2020_PCM06,PC/PLT 2020_M06,64901,false,PC/PLT 2020_M06,PLT2020_PCM06,CorpPlan,PLT202006|2020FY|FcstN-1
